iter	Passed	Remaining
775	1710	493
776	1713	491
777	1714	489
778	1715	486
779	1717	484
780	1719	482
781	1721	479
782	1722	477
783	1724	475
784	1728	473
785	1730	471
786	1731	468
787	1734	466
788	1736	464
789	1738	462
790	1740	459
791	1743	457
792	1746	455
793	1748	453
794	1749	451
795	1751	448
796	1753	446
797	1755	444
798	1759	442
799	1760	440
800	1762	437
801	1764	435
802	1766	433
803	1768	431
804	1770	428
805	1773	426
806	1775	424
807	1776	422
808	1778	419
809	1780	417
810	1782	415
811	1784	413
812	1785	410
813	1789	408
814	1791	406
815	1793	404
816	1795	402
817	1797	399
818	1798	397
819	1800	395
820	1803	393
821	1805	391
822	1807	388
823	1809	386
824	1810	384
825	1812	381
826	1814	379
827	1816	377
828	1819	375
829	1821	373
830	1823	370
831	1825	368
832	1827	366
833	1829	364
834	1830	361
835	1834	359
836	1836	357
837	1838	355
838	1840	353
839	1842	350
840	1845	348
841	1851	347
842	1853	345
843	1855	342
844	1856	340
845	1858	338
846	1862	336
847	1864	334
848	1866	331
849	1868	329
850	1870	327
851	1872	325
852	1874	323
853	1883	321
854	1885	319
855	1888	317
856	1891	315
857	1894	313
858	1897	311
859	1899	309
860	1901	306
861	1903	304
862	1911	303
863	1913	301
864	1915	298
865	1918	296
866	1923	295
867	1926	292
868	1928	290
869	1930	288
870	1933	286
871	1935	284
872	1939	282
873	1942	280
874	1945	277
875	1947	275
876	1950	273
877	1953	271
878	1956	269
879	1958	267
880	1960	264
881	1962	262
882	1968	260
883	1970	258
884	1972	256
885	1976	254
886	1982	252
887	1984	250
888	1988	248
889	1990	245
890	1993	243
891	1998	242
892	2001	239
893	2003	237
894	2005	235
895	2009	233
896	2012	231
897	2015	228
898	2017	226
899	2020	224
900	2022	222
901	2026	220
902	2028	217
903	2032	215
904	2034	213
905	2036	211
906	2039	209
907	2044	207
908	2047	204
909	2049	202
910	2051	200
911	2059	198
912	2062	196
913	2064	194
914	2066	191
915	2069	189
916	2073	187
917	2077	185
918	2079	183
919	2081	181
920	2083	178
921	2088	176
922	2090	174
923	2092	172
924	2094	169
925	2097	167
926	2099	165
927	2102	163
928	2104	160
929	2106	158
930	2109	156
931	2111	154
932	2113	151
933	2118	149
934	2121	147
935	2123	145
936	2125	142
937	2127	140
938	2130	138
939	2133	136
940	2135	133
941	2137	131
942	2139	129
943	2141	127
944	2143	124
945	2149	122
946	2151	120
947	2153	118
948	2155	115
949	2157	113
950	2159	111
951	2162	109
952	2164	106
953	2166	104
954	2167	102
955	2169	99
956	2171	97
957	2173	95
958	2177	93
959	2179	90
960	2181	88
961	2183	86
962	2185	83
963	2187	81
964	2188	79
965	2192	77
966	2194	74
967	2195	72
968	2197	70
969	2199	68
970	2200	65
971	2202	63
972	2204	61
973	2207	58
974	2211	56
975	2213	54
976	2215	52
977	2217	49
978	2219	47
979	2221	45
980	2224	43
981	2226	40
982	2227	38
983	2229	36
984	2231	33
985	2233	31
986	2235	29
987	2238	27
988	2240	24
989	2242	22
990	2243	20
991	2246	18
992	2249	15
993	2250	13
994	2252	11
995	2255	9
996	2256	6
997	2258	4
998	2260	2
999	2262	0
